RefSeqAccession	GeneSymbol
NM_029604	Pifo
NR_033603	Gm5176
NM_001024624	Cdkl5
	Tbc1d2
NM_001081336	Dgkh
	Myo18a
NM_177390	Myo1d
NM_001037747	Card9
NM_001164669	Dnahc6
NM_203320	Cxcl3
NM_001009940	Il19
NM_176940	Nwd1
NM_173018	Myo9a
	Zbtb1
	Rab11fip4
NM_001081499	Tbc1d8b
NM_175537	Zbtb38
	Atr
NM_001081152	Npat
NM_172922	Ankk1
NM_174854	Disc1
NM_001081345	Chd2
NM_183046	Kif20b
NM_001101475	F830016B08Rik
NM_001033767	Gm4951
NM_001163013	Ythdc2
NM_172826	Dact2
NM_172823	Lmln
NM_001163502	Elmsan1
NM_172796	Slfn9
NM_175027	Fancb
NM_172203	Nox1
NM_172771	Dmxl2
NM_172766	Nfrkb
NM_144931	Nae1
NM_198703	Wnk1
NM_145569	Mat2a
NM_173762	Cenpe
	Cdc14a
	Pogz
NM_144895	Spg20
NM_001033299	Zfp217
NM_145526	P2rx3
NM_001033285	Cdc42bpa
NM_177445	Dars
NM_001252684	Smc5
NM_145495	Rin1
NM_001037294	Alpk2
	Cep120
NM_181414	Pik3c3
NM_001081223	Rbbp8
NM_153552	Thoc1
NM_172622	Trerf1
	Fgd4
NM_001081302	Trio
NM_001033272	Spata13
NM_001014996	Cenpj
NM_177625	Ttc5
NM_144553	Dlgap5
NM_144551	Trib2
NM_145436	Cdc27
	BC030499
NM_175003	Arhgap44
NM_173437	Nav1
NM_145412	Chtf8
NM_172516	Dstyk
	Lcor
NM_001008550	Zfyve26
NM_001033244	Fancd2
NM_001081278	Tbc1d4
NM_175291	Dock10
NM_010620	Kif15
NM_001267622	Ttc28
NM_145373	Sectm1a
NM_001081322	Myo5c
NM_172443	Tbc1d16
	Bcas3
NM_138314	Nme7
NM_133249	Ppargc1b
NM_130904	Cd209d
NM_133211	Tlr7
NM_001012625	Rims1
NM_053268	Rasa2
NM_178085	Erc1
	Rps6ka3
NM_029851	Dync2h1
NM_145541	Rap1a
NM_139294	Braf
NM_175397	Sp110
NM_133780	Tpr
NM_138648	Olr1
NM_001162864	Ttbk1
NM_134115	Stk38
NM_001253813	Ano6
NM_025936	Rars
NM_027219	Cdc42ep1
NM_029132	Cep57l1
NM_001142732	Ttll3
NM_175310	Pds5b
NM_146154	Ppp1r8
NM_133853	Magi3
NM_021400	Prg4
NM_053183	Ddx50
NM_033620	Pard3
NM_053093	Tac4
NM_031405	Srrt
NM_030218	9130017N09Rik
NM_030113	Arhgap10
NM_198007	Ascc3
NM_153409	Csrnp3
NM_175265	Bora
NM_029756	Sdccag8
NM_029617	Casc5
NM_029570	Atp11b
NM_133762	Ncapg2
NM_001009947	Dock11
NM_001039692	Arhgap12
NM_029250	Etnk1
NM_172420	Ppp1r1c
NM_029162	Zbtb49
NM_026665	Cep57
NM_028887	Smchd1
NM_001080981	Ddx23
NM_028724	Rin2
NM_028717	Als2
NM_176837	Arhgap18
NM_207104	Haus7
NM_145221	Appl1
NM_028399	Ccnt2
NM_134059	Ddx41
NM_175190	Swi5
NM_028387	Macrod2
NM_178622	Suds3
