name2	chrom	start	end
Mid1	chrX 	169877622	169880622
Ttc28	chr5	110877803	110880803
BC030499	chr11	78288841	78291841
Casc5	chr2	119045119	119048119
Murc	chr4	48661514	48664514
9130017N09Rik	chr10	79819021	79822021
Fert2	chr17	63861981	63864981
Irg1	chr14	103045012	103048012
Cep110	chr7	118710543	118713543
2610018G03Rik	chrX 	50839371	50842371
Ascc3	chr10	50590669	50593669
Bcas3	chr11	85351163	85354163
Bcas3	chr11	85351163	85354163
Disc1	chr8	125052194	125055194
Disc1	chr8	125052194	125055194
Il1rap	chr16	26579704	26582704
Il1rap	chr16	26579704	26582704
Macrod2	chr2	140393429	140396429
Macrod2	chr2	140393434	140396434
Mcf2l	chr8	12947417	12950417
Mcf2l	chr8	12913892	12916892
Pard3	chr8	127062055	127065055
Pard3	chr8	127062055	127065055
Pard3	chr8	127297611	127300611
Plcb1	chr2	134784163	134787163
Plcb1	chr2	134784163	134787163
Smarca4	chr9	21614168	21617168
Smarca4	chr9	21614168	21617168
Ttll3	chr6	113387259	113390259
Ttll3	chr6	113390496	113393496
Abca4	chr3	122042459	122045459
Abcb1a	chr5	8565090	8568090
Abcb4	chr5	8891720	8894720
Acvr1b	chr15	101172071	101175071
Adora2b	chr11	62246983	62249983
Alkbh8	chr9	3333230	3336230
Ano6	chr15	95788842	95791842
Areg	chr5	91137598	91140598
Arhgap18	chr10	26770511	26773511
Aspm	chr1	139452772	139455772
Atp11b	chr3	35752062	35755062
Atp2b1	chr10	98913151	98916151
Atp6ap1	chrX	74295096	74298096
Atr	chr9	95855596	95858596
Aurkb	chr11	69043636	69046636
Aurkc	chr7	6993384	6996384
Bora	chr14	99044376	99047376
Brca2	chr5	150520620	150523620
Camk4	chr18	32937040	32940040
Ccnt2	chr1	127772163	127775163
Cdc42bpa	chr1	179959088	179962088
Cdc42ep1	chr15	78840646	78843646
Cenpe	chr3	135210562	135213562
Cep250	chr2	155954557	155957557
Chek2	chr5	110837982	110840982
Chordc1	chr9	18290266	18293266
Cit	chr5	115843655	115846655
Clk4	chr11	51261113	51264113
Cnp	chr11	100572938	100575938
Coro1b	chr19	4146662	4149662
Csf3	chr11	98699312	98702312
Csrnp3	chr2	65843766	65846766
Cxcl1	chr5	90889244	90892244
Cxcl2	chr5	90901898	90904898
Cxcl3	chr5	90784100	90787100
Ddx39b	chr17	35239745	35242745
Dock11	chrX	35886831	35889831
Dstyk	chr1	132415452	132418452
Eef2k	chr7	120840830	120843830
Ehd1	chr19	6274895	6277895
Etnk1	chr6	143165229	143168229
F830016B08Rik	chr18	60291379	60294379
Faim	chr9	98984372	98987372
Fancb	chrX	164978591	164981591
Fancd2	chr6	113529681	113532681
Farsa	chr8	84854985	84857985
Fmnl1	chr11	103169137	103172137
Foxo4	chrX	101252527	101255527
Fpr2	chr17	17885823	17888823
Gm4951	chr18	60210076	60213076
Hltf	chr3	20055810	20058810
Hmox1	chr8	75091617	75094617
Hspa8	chr9	40799275	40802275
Hyal1	chr9	107574926	107577926
Icam1	chr9	21013939	21016939
Iigp1	chr18	60374028	60377028
Il5	chr11	53718793	53721793
Ipmk	chr10	71345762	71348762
Kif15	chr9	122949080	122952080
Kif20b	chr19	34920357	34923357
Lcor	chr19	41547638	41550638
Lmln	chr16	33060520	33063520
Lrrcc1	chr3	14531787	14534787
Mad2l1	chr6	66533220	66536220
Map3k2	chr18	32161088	32164088
Map3k5	chr10	19932525	19935525
Map4k2	chr19	6339159	6342159
Mis12	chr11	71017610	71020610
Mplkip	chr13	17693412	17696412
Mtor	chr4	148446581	148449581
Myh4	chr11	67235811	67238811
Myh8	chr11	67275123	67278123
Myo18a	chr11	77775234	77778234
Myo1e	chr9	70205349	70208349
Myo5c	chr9	75230013	75233013
Myo9a	chr9	59749173	59752173
Nbn	chr4	15955966	15958966
Ncapg2	chr12	116403435	116406435
Nfrkb	chr9	31384191	31387191
Nme7	chr1	164305671	164308671
Nos3	chr5	24362818	24365818
Npat	chr9	53535046	53538046
Nrp1	chr8	128357072	128360072
Nsmce2	chr15	59372197	59375197
Nwd1	chr8	72644710	72647710
Oprl1	chr2	181713015	181716015
Orc1	chr4	108577453	108580453
P2ry1	chr3	61000784	61003784
Pcm1	chr8	41237758	41240758
Pdcd11	chr19	47088765	47091765
Pds5b	chr5	150671826	150674826
Pik3c3	chr18	30270864	30273864
Pik3ca	chr3	32434150	32437150
Pogz	chr3	94835566	94838566
Ppid	chr3	79589336	79592336
Ppp1r1c	chr2	79705779	79708779
Prkdc	chr16	15635865	15638865
Prpf19	chr19	10893230	10896230
Ptgs2	chr1	150098030	150101030
Pygm	chr19	6382407	6385407
Rab11fip4	chr11	79589211	79592211
Rab13	chr3	90218783	90221783
Rb1cc1	chr1	6212661	6215661
